sample_id,cell_id,cell_name,nwb_file_name
20171204_sample_2,GTOKH-2,sub-mouse-GTOKH_ses-20171204-sample-2_slice-20171204-slice-2_cell-20171204-sample-2_icephys,sub-mouse-GTOKH_ses-20171204-sample-2_slice-20171204-slice-2_cell-20171204-sample-2_icephys.nwb
20171204_sample_4,GTOKH-4,sub-mouse-GTOKH_ses-20171204-sample-4_slice-20171204-slice-4_cell-20171204-sample-4_icephys,sub-mouse-GTOKH_ses-20171204-sample-4_slice-20171204-slice-4_cell-20171204-sample-4_icephys.nwb
20171204_sample_5,GTOKH-5,sub-mouse-GTOKH_ses-20171204-sample-5_slice-20171204-slice-5_cell-20171204-sample-5_icephys,sub-mouse-GTOKH_ses-20171204-sample-5_slice-20171204-slice-5_cell-20171204-sample-5_icephys.nwb
20171204_sample_6,GTOKH-6,sub-mouse-GTOKH_ses-20171204-sample-6_slice-20171204-slice-6_cell-20171204-sample-6_icephys,sub-mouse-GTOKH_ses-20171204-sample-6_slice-20171204-slice-6_cell-20171204-sample-6_icephys.nwb
20171207_sample_1,UGZSW-1,sub-mouse-UGZSW_ses-20171207-sample-1_slice-20171207-slice-1_cell-20171207-sample-1_icephys,sub-mouse-UGZSW_ses-20171207-sample-1_slice-20171207-slice-1_cell-20171207-sample-1_icephys.nwb
20171207_sample_2,UGZSW-2,sub-mouse-UGZSW_ses-20171207-sample-2_slice-20171207-slice-2_cell-20171207-sample-2_icephys,sub-mouse-UGZSW_ses-20171207-sample-2_slice-20171207-slice-2_cell-20171207-sample-2_icephys.nwb
20171207_sample_6,UGZSW-6,sub-mouse-UGZSW_ses-20171207-sample-6_slice-20171207-slice-6_cell-20171207-sample-6_icephys,sub-mouse-UGZSW_ses-20171207-sample-6_slice-20171207-slice-6_cell-20171207-sample-6_icephys.nwb
20171207_sample_7,UGZSW-7,sub-mouse-UGZSW_ses-20171207-sample-7_slice-20171207-slice-7_cell-20171207-sample-7_icephys,sub-mouse-UGZSW_ses-20171207-sample-7_slice-20171207-slice-7_cell-20171207-sample-7_icephys.nwb
20171219_sample_1,KKXUD-1,sub-mouse-KKXUD_ses-20171219-sample-1_slice-20171219-slice-1_cell-20171219-sample-1_icephys,sub-mouse-KKXUD_ses-20171219-sample-1_slice-20171219-slice-1_cell-20171219-sample-1_icephys.nwb
20171219_sample_2,KKXUD-2,sub-mouse-KKXUD_ses-20171219-sample-2_slice-20171219-slice-2_cell-20171219-sample-2_icephys,sub-mouse-KKXUD_ses-20171219-sample-2_slice-20171219-slice-2_cell-20171219-sample-2_icephys.nwb
20171219_sample_3,KKXUD-3,sub-mouse-KKXUD_ses-20171219-sample-3_slice-20171219-slice-3_cell-20171219-sample-3_icephys,sub-mouse-KKXUD_ses-20171219-sample-3_slice-20171219-slice-3_cell-20171219-sample-3_icephys.nwb
20171219_sample_4,KKXUD-4,sub-mouse-KKXUD_ses-20171219-sample-4_slice-20171219-slice-4_cell-20171219-sample-4_icephys,sub-mouse-KKXUD_ses-20171219-sample-4_slice-20171219-slice-4_cell-20171219-sample-4_icephys.nwb
20171219_sample_6,KKXUD-6,sub-mouse-KKXUD_ses-20171219-sample-6_slice-20171219-slice-6_cell-20171219-sample-6_icephys,sub-mouse-KKXUD_ses-20171219-sample-6_slice-20171219-slice-6_cell-20171219-sample-6_icephys.nwb
20171219_sample_7,KKXUD-7,sub-mouse-KKXUD_ses-20171219-sample-7_slice-20171219-slice-7_cell-20171219-sample-7_icephys,sub-mouse-KKXUD_ses-20171219-sample-7_slice-20171219-slice-7_cell-20171219-sample-7_icephys.nwb
20171219_sample_8,KKXUD-8,sub-mouse-KKXUD_ses-20171219-sample-8_slice-20171219-slice-8_cell-20171219-sample-8_icephys,sub-mouse-KKXUD_ses-20171219-sample-8_slice-20171219-slice-8_cell-20171219-sample-8_icephys.nwb
20180102_sample_1,HXCVU-1,sub-mouse-HXCVU_ses-20180102-sample-1_slice-20180102-slice-1_cell-20180102-sample-1_icephys,sub-mouse-HXCVU_ses-20180102-sample-1_slice-20180102-slice-1_cell-20180102-sample-1_icephys.nwb
20180102_sample_2,HXCVU-2,sub-mouse-HXCVU_ses-20180102-sample-2_slice-20180102-slice-2_cell-20180102-sample-2_icephys,sub-mouse-HXCVU_ses-20180102-sample-2_slice-20180102-slice-2_cell-20180102-sample-2_icephys.nwb
20180102_sample_3,HXCVU-3,sub-mouse-HXCVU_ses-20180102-sample-3_slice-20180102-slice-3_cell-20180102-sample-3_icephys,sub-mouse-HXCVU_ses-20180102-sample-3_slice-20180102-slice-3_cell-20180102-sample-3_icephys.nwb
20180102_sample_4,HXCVU-4,sub-mouse-HXCVU_ses-20180102-sample-4_slice-20180102-slice-4_cell-20180102-sample-4_icephys,sub-mouse-HXCVU_ses-20180102-sample-4_slice-20180102-slice-4_cell-20180102-sample-4_icephys.nwb
20180102_sample_5,HXCVU-5,sub-mouse-HXCVU_ses-20180102-sample-5_slice-20180102-slice-5_cell-20180102-sample-5_icephys,sub-mouse-HXCVU_ses-20180102-sample-5_slice-20180102-slice-5_cell-20180102-sample-5_icephys.nwb
20180103_sample_1,BXLFB-1,sub-mouse-BXLFB_ses-20180103-sample-1_slice-20180103-slice-1_cell-20180103-sample-1_icephys,sub-mouse-BXLFB_ses-20180103-sample-1_slice-20180103-slice-1_cell-20180103-sample-1_icephys.nwb
20180103_sample_2,BXLFB-2,sub-mouse-BXLFB_ses-20180103-sample-2_slice-20180103-slice-2_cell-20180103-sample-2_icephys,sub-mouse-BXLFB_ses-20180103-sample-2_slice-20180103-slice-2_cell-20180103-sample-2_icephys.nwb
20180103_sample_3,BXLFB-3,sub-mouse-BXLFB_ses-20180103-sample-3_slice-20180103-slice-3_cell-20180103-sample-3_icephys,sub-mouse-BXLFB_ses-20180103-sample-3_slice-20180103-slice-3_cell-20180103-sample-3_icephys.nwb
20180103_sample_4,BXLFB-4,sub-mouse-BXLFB_ses-20180103-sample-4_slice-20180103-slice-4_cell-20180103-sample-4_icephys,sub-mouse-BXLFB_ses-20180103-sample-4_slice-20180103-slice-4_cell-20180103-sample-4_icephys.nwb
20180103_sample_5,BXLFB-5,sub-mouse-BXLFB_ses-20180103-sample-5_slice-20180103-slice-5_cell-20180103-sample-5_icephys,sub-mouse-BXLFB_ses-20180103-sample-5_slice-20180103-slice-5_cell-20180103-sample-5_icephys.nwb
