,peak_idx,time_delays(ms)
AAYYT-2-23,[ 3976  6127  9219 14392],[ 86.   123.72 206.88]
AAYYT-2-24,[ 3673  5644  8629 13161 16629],[ 78.8  119.4  181.24 138.76]
AAYYT-2-25,[ 3560  5416  7754 10370 13440 16821],[ 74.16  93.56 104.64 122.8  135.24]
AAYYT-2-26,[ 3377  4935  6993  9522 12475 15419],[ 62.24  82.36 101.16 118.08 117.8 ]
AAYYT-3-24,[ 3166  4638  6522 13804],[ 58.84  75.36 291.28]
AAYYT-3-25,[ 3095  4631  6570 12038],[ 61.4   77.56 218.68]
AAYYT-3-26,[ 2995  3280  4636  6650  8549 12750],[ 11.32  54.04  80.56  75.96 168.  ]
AAYYT-3-27,[ 2945  3200  4819  6475  8893 15424],[ 10.12  64.8   66.24  96.68 261.24]
AAYYT-3-28,[ 2910  3193  4610  6176  7995 11333],[ 11.24  56.28  62.64  72.72 133.52]
AAYYT-3-29,[ 2891  4457  5963  7802  9508 11915],[62.6  60.24 73.56 68.24 96.24]
AAYYT-3-30,[ 2848  3107  4510  5773  7356  8968 10701 13049 15271],[10.24 56.16 50.52 63.36 64.44 69.32 93.92 88.88]
AAYYT-3-31,[ 2823  4458  5684  7111  9017 10786 12868 14617],[65.32 49.08 57.08 76.2  70.76 83.28 70.  ]
AAYYT-3-32,[ 2787  4260  5475  6905  8500 10901 13358 15866],[ 58.88  48.6   57.2   63.8   96.04  98.28 100.32]
AAYYT-3-33,[ 2765  4116  5536  6842  8510 10607 14258 16137],[ 54.    56.8   52.24  66.76  83.84 146.04  75.16]
AAYYT-3-34,[ 2758  4336  5702  7115  8608 10180 13952 16160],[ 63.    54.68  56.48  59.72  62.88 150.8   88.36]
AAYYT-3-35,[ 2735  4192  5266  6462  8010  9326 11314 13644 15002],[58.2  42.96 47.88 61.88 52.64 79.52 93.16 54.36]
AAYYT-3-36,[ 2718  3955  5234  6553  7821  9751 12633 15289],[ 49.36  51.2   52.76  50.76  77.12 115.24 106.24]
AAYYT-3-37,[ 2710  3956  5662  6881  8368  9760 13352 14959 17516],[ 49.72  68.24  48.8   59.48  55.64 143.64  64.32 102.16]
AAYYT-4-18,[ 3683  5414  8190 12225 16446],[ 69.24 111.   161.4  168.84]
AAYYT-4-19,[ 3423  5081  7512 11054 14790],[ 66.32  97.24 141.68 149.48]
AAYYT-4-20,[ 3347  4825  7037  9865 13158 17363],[ 59.12  88.48 113.08 131.72 168.2 ]
AAYYT-4-21,[ 3246  4547  6643  9214 13032 15971],[ 51.96  83.92 102.8  152.72 117.56]
AAYYT-4-22,[ 3105  3744  5225  7368  9737 12848 16431],[ 25.52  59.28  85.72  94.76 124.4  143.32]
AAYYT-4-23,[ 3065  4367  6158  8394 11244 14520],[ 52.04  71.68  89.44 114.   131.04]
AAYYT-4-24,[ 3010  3386  5354  7711 10417 13923],[ 14.88  77.56  94.28 108.24 140.2 ]
AAYYT-4-25,[ 3044  3503  5158  7482  9621 12853],[ 18.24  66.28  92.96  85.56 129.28]
AAYYT-4-26,[ 2969  3338  4815  6605  8838 11277 14314],[ 14.6   59.2   71.64  89.28  97.56 121.44]
AAYYT-4-27,[ 2953  3372  4869  6767  9456 11638 14350 17400],[ 16.6   59.96  75.92 107.52  87.28 108.48 121.96]
AAYYT-4-28,[ 2906  3283  4813  6645 11991 14807],[ 14.92  61.32  73.28 213.76 112.68]
AAYYT-4-29,[ 2889  3237  4683  6469  8371 11180],[ 13.68  58.    71.44  76.08 112.32]
AAYYT-4-30,[ 2860  3181  4473  5956  7844 10335 17507],[ 12.6   51.92  59.32  75.52  99.6  286.72]
AAYYT-4-31,[ 2858  3192  4498  6014  8186 11554 13860],[ 13.12  52.4   60.68  86.84 134.64  92.32]
AAYYT-4-32,[ 2835  3154  4504  5949  7992 10075 16374],[ 12.52  54.2   57.8   81.68  83.32 251.84]
AAYYT-4-33,[ 2841  3165  4705  6340  8586 11047 13733],[ 12.72  61.2   65.44  89.84  98.44 107.44]
AAYYT-4-34,[ 2781  3078  4304  5729  7613 10168],[ 11.68  49.28  57.08  75.32 102.2 ]
AAYYT-4-35,[ 2781  3073  4573  5807  7585  9558 11650 14702],[ 11.48  59.04  49.4   71.12  78.88  83.68 122.08]
AAYYT-4-36,[2768 3072 4677 6224 8780],[ 11.92  62.92  61.92 102.2 ]
AEJGZ-2-25,[ 3727  6131 10000 14374],[ 96.2  154.76 174.96]
AEJGZ-2-26,[ 3607  5905  8314 11377 14379],[ 91.84  96.4  122.52 120.04]
AEJGZ-2-27,[ 3672  5629  8118 10490 12914 16037],[ 78.24  99.56  94.88  96.96 124.88]
AEJGZ-2-28,[ 3263  4802  6581  8939 11021 13635 16117],[ 61.56  71.12  94.32  83.28 104.52  99.28]
AEJGZ-2-29,[ 3188  4530  6259  8128 10515 12906 14969 16960],[53.72 69.16 74.76 95.48 95.6  82.52 79.64]
AEJGZ-2-30,[ 3135  4284  5842  7565  9702 11515 13423 15350 17179],[45.96 62.32 68.96 85.48 72.48 76.28 77.12 73.08]
AEJGZ-2-31,[ 3016  4106  5501  7130  9096 10757 12563 14486 16327],[43.6  55.76 65.16 78.64 66.48 72.28 76.92 73.68]
AEJGZ-2-32,[ 2949  4035  5415  6895  8373  9913 11525 12999 14668 16298],[43.44 55.24 59.16 59.16 61.6  64.48 58.96 66.76 65.24]
AEJGZ-2-33,[ 2954  3948  5162  6531  7954  9543 11016 12645 13973 15595 17255],[39.8  48.52 54.84 56.92 63.48 58.96 65.12 53.12 64.84 66.4 ]
AEJGZ-5-28,[ 3353  5175 10394 15999],[ 72.88 208.72 224.2 ]
AEJGZ-5-29,[ 3258  4973  9600 14659],[ 68.6  185.08 202.36]
AEJGZ-5-30,[ 3181  4708  8232 12439 16880],[ 61.04 140.96 168.28 177.64]
AEJGZ-6-21,[2670 3195 3676 5115 5622 6498 7123 7861],[21.   19.24 57.52 20.28 35.04 25.   29.52]
